# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__	0.0	0.000126598303583	0.00177237625016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00126598303583	0.0	0.00227876946449	0.0	0.0	0.000126598303583	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113938473224	0.0	0.000506393214331	0.000379794910748	0.00531712875047	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000632991517914	0.0	0.000126598303583	0.00253196607165	0.000126598303583	0.00417774401823	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;Other	0.00341815419673	0.0	0.00506393214331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253196607165	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00417774401823	0.0	0.000506393214331	0.000379794910748	0.00101278642866	0.00101278642866	0.0029117609824	0.000759589821496	0.000506393214331	0.000126598303583	0.000253196607165
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	0.000126598303583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000886188125079	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000759589821496	0.0036713508039	0.0	0.000126598303583	0.0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189897455374	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae];g__Balneola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036713508039	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	0.0	0.0	0.0	0.0124066337511	0.000253196607165	0.00632991517914	0.000126598303583	0.000126598303583	0.0	0.0143056083048	0.00455753892898	0.0110140524117	0.00670971008988	0.0192429421446	0.0248132675022	0.00113938473224	0.0	0.000126598303583
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium	0.000253196607165	0.000126598303583	0.00113938473224	0.0229142929485	0.0044309406254	0.0576022281301	0.00557032535764	0.0220281048234	0.000759589821496	0.0667173059881	0.115457652867	0.0387390808963	0.209393594126	0.140397518673	0.182174958856	0.0173439675908	0.00329155589315	0.00227876946449
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__	0.0	0.0	0.0	0.00303835928599	0.000126598303583	0.000126598303583	0.000253196607165	0.000632991517914	0.0	0.00215217116091	0.000253196607165	0.00784909482213	0.014558804912	0.0127864286619	0.0134194201798	0.000126598303583	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__;g__	0.0	0.000253196607165	0.000253196607165	0.00924167616154	0.00101278642866	0.00101278642866	0.0	0.0036713508039	0.000126598303583	0.0131662235726	0.0127864286619	0.0189897455374	0.0455753892898	0.0289910115204	0.0359539182175	0.00569692366122	0.000253196607165	0.000632991517914
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.000759589821496	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Prochlorococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177237625016	0.0	0.000886188125079	0.00101278642866	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00253196607165	0.000506393214331	0.00164577794658	0.00189897455374	0.00303835928599	0.0	0.0	0.000126598303583
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0187365489302	0.0029117609824	0.00189897455374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
